,Name,Count
0,gin,72
24,vodka,54
34,sugar,49
11,lemon juice,37
19,orange juice,37
97,lemon,34
81,ice,29
3,grenadine,29
31,light rum,27
110,water,26
98,powdered sugar,26
53,coffee,24
88,lime,24
8,milk,21
4,amaretto,21
38,dry vermouth,20
28,kahlua,19
49,lemon peel,18
32,triple sec,18
37,sweet vermouth,17
71,rum,15
132,tequila,15
5,baileys irish cream,15
46,pineapple juice,14
82,,14
102,brandy,13
36,scotch,13
96,cherry,13
23,maraschino cherry,13
50,bitters,13
14,151 proof rum,13
154,orange,13
33,lime juice,13
109,carbonated water,12
74,lime juice,12
43,light cream,12
29,egg white,12
104,ginger ale,11
10,dark rum,11
20,cranberry juice,11
44,nutmeg,10
35,mint,9
175,red wine,9
47,bourbon,9
101,coca-cola,9
51,soda water,9
147,salt,8
1,grand marnier,7
62,sugar syrup,7
55,sambuca,7
64,blue curacao,7
151,egg,7
60,champagne,7
45,blended whiskey,7
61,peach schnapps,7
69,maraschino liqueur,7
21,club soda,7
182,sweet and sour,6
156,yoghurt,6
72,galliano,6
67,angostura bitters,6
207,chambord raspberry liqueur,6
39,orange bitters,6
26,lemonade,6
120,vanilla extract,6
59,goldschlager,5
2,lemon juice,5
171,sugar syrup,5
215,creme de cassis,5
22,apple juice,5
177,cloves,5
155,benedictine,5
17,grapefruit juice,5
54,cream,5
57,green chartreuse,5
108,port,5
42,creme de cacao,5
133,olive,5
243,lemon-lime soda,5
84,midori melon liqueur,4
85,jägermeister,4
117,cointreau,4
100,cherry brandy,4
198,ginger,4
169,beer,4
189,tea,4
15,wild turkey,4
226,angostura bitters,4
209,jack daniels,4
204,whipped cream,4
172,orange peel,4
114,lager,4
52,frangelico,4
115,campari,4
66,maraschino liqueur,4
181,malibu rum,4
176,cinnamon,4
238,cardamom,3
116,absolut citron,3
297,root beer,3
267,crown royal,3
263,sherry,3
242,white creme de menthe,3
119,wine,3
150,espresso,3
188,honey,3
222,kool-aid,3
180,pineapple,3
208,anis,3
153,apricot brandy,3
194,irish whiskey,3
146,chocolate syrup,3
179,orange spiral,3
152,condensed milk,3
7,heavy cream,3
95,tabasco sauce,3
83,sloe gin,3
87,southern comfort,3
89,sour mix,3
90,everclear,3
70,passion fruit juice,3
13,tonic water,3
6,cognac,3
103,spiced rum,3
77,bacardi limon,3
48,blackberry brandy,3
68,maraschino cherry,2
266,7-up,2
75,prosecco,2
178,grapefruit juice,2
30,vermouth,2
76,corona,2
184,soda water,2
268,tonic water,2
233,orgeat syrup,2
79,cherry heering,2
274,jim beam,2
183,lemon,2
191,grape juice,2
185,green creme de menthe,2
187,white rum,2
236,pepsi cola,2
227,drambuie,2
16,applejack,2
225,lime peel,2
241,butterscotch schnapps,2
221,schweppes russchian,2
12,absolut vodka,2
216,absolut kurant,2
211,coffee liqueur,2
251,orange juice,2
40,lemon juice,2
200,half-and-half,2
199,brown sugar,2
56,orange bitters,2
58,irish cream,2
193,sherbet,2
160,apple,2
164,orange peel,2
232,cocoa powder,2
159,strawberries,2
92,surge,2
130,fruit punch,2
131,sprite,2
99,cachaca,2
128,cider,2
294,triple sec,2
136,pisco,2
123,grain alcohol,2
144,hot damn,2
122,chocolate,2
148,whipping cream,2
93,tomato juice,2
142,ginger beer,2
281,irish whiskey,2
118,egg yolk,2
157,banana,2
301,zima,2
295,cream of coconut,1
234,pina colada mix,1
235,daiquiri mix,1
302,johnnie walker,1
293,limeade,1
254,blended scotch,1
