,Name,Count
0,sugar,49
1,lemon juice,37
2,orange juice,37
3,lemon,34
4,ice,29
5,grenadine,29
6,water,26
7,powdered sugar,26
8,coffee,24
9,lime,24
10,milk,21
11,lemon peel,18
12,pineapple juice,14
13,cherry,13
14,maraschino cherry,13
15,bitters,13
16,orange,13
17,lime juice,13
18,lime juice,13
19,carbonated water,12
20,light cream,12
21,egg white,12
22,ginger ale,11
23,cranberry juice,11
24,nutmeg,10
25,mint,9
26,coca-cola,9
27,soda water,9
28,salt,8
29,sugar syrup,7
30,egg,7
31,club soda,7
32,sugar syrup,7
33,sweet and sour,6
34,yoghurt,6
35,lemonade,6
36,vanilla extract,6
37,angostura bitters,6
38,orange bitters,6
39,angostura bitters,6
40,lemon juice,5
41,apple juice,5
42,cloves,5
43,grapefruit juice,5
44,cream,5
45,olive,5
46,lemon-lime soda,5
47,grapefruit juice,5
48,ginger,4
49,tea,4
50,whipped cream,4
51,orange peel,4
52,cinnamon,4
53,orange peel,4
54,root beer,3
55,espresso,3
56,honey,3
57,kool-aid,3
58,pineapple,3
59,chocolate syrup,3
60,orange spiral,3
61,condensed milk,3
62,heavy cream,3
63,tabasco sauce,3
64,sour mix,3
65,passion fruit juice,3
66,tonic water,3
67,tonic water,3
68,maraschino cherry,2
69,7-up,2
70,soda water,2
71,orgeat syrup,2
72,lemon,2
73,grape juice,2
74,pepsi cola,2
75,lime peel,2
76,orange juice,2
77,lemon juice,2
78,half-and-half,2
79,brown sugar,2
80,sherbet,2
81,apple,2
82,cocoa powder,2
83,strawberries,2
84,surge,2
85,fruit punch,2
86,sprite,2
87,chocolate,2
88,whipping cream,2
89,tomato juice,2
90,ginger beer,2
91,egg yolk,2
92,banana,2
93,egg yolk,2
94,7-up,2
95,tomato juice,2
96,orange bitters,2
97,cream of coconut,1
98,limeade,1
99,grape soda,1
100,oreo cookie,1
101,vanilla ice-cream,1
102,ginger syrup,1
103,black pepper,1
104,cucumber,1
105,honey syrup,1
106,coconut milk,1
107,allspice,1
108,cherries,1
109,celery salt,1
110,cranberry juice,1
111,agave syrup,1
112,raspberry syrup,1
113,egg white,1
114,maple syrup,1
115,pink lemonade,1
116,fresca,1
117,rosemary,1
118,mango,1
119,worcestershire sauce,1
120,vanilla syrup,1
121,mountain dew,1
122,fruit,1
123,pineapple juice,1
124,fruit juice,1
125,dr. pepper,1
126,lavender,1
127,food coloring,1
128,vanilla,1
129,peppermint extract,1
130,pepper,1
131,olive brine,1
132,demerara sugar,1
133,pineapple syrup,1
134,wormwood,1
135,sirup of roses,1
136,mint syrup,1
137,peach nectar,1
138,bitter lemon,1
139,hot chocolate,1
140,kiwi,1
141,papaya,1
142,cayenne pepper,1
143,jello,1
144,caramel coloring,1
145,iced tea,1
146,coconut syrup,1
147,red chili flakes,1
148,cherry juice,1
149,corn syrup,1
150,carbonated soft drink,1
151,blackberries,1
152,pineapple juice,1
153,peychaud bitters,1
154,peach bitters,1
