,Names,Count
0,gin,72
1,vodka,54
2,light rum,27
3,amaretto,21
4,dry vermouth,20
5,kahlua,19
6,triple sec,18
7,sweet vermouth,17
8,rum,15
9,tequila,15
10,baileys irish cream,15
11,brandy,13
12,scotch,13
13,151 proof rum,13
14,dark rum,11
15,red wine,9
16,bourbon,9
17,grand marnier,7
18,sambuca,7
19,blue curacao,7
20,champagne,7
21,blended whiskey,7
22,peach schnapps,7
23,maraschino liqueur,7
24,galliano,6
25,chambord raspberry liqueur,6
26,goldschlager,5
27,creme de cassis,5
28,benedictine,5
29,green chartreuse,5
30,port,5
31,creme de cacao,5
32,midori melon liqueur,4
33,jägermeister,4
34,cointreau,4
35,cherry brandy,4
36,beer,4
37,wild turkey,4
38,jack daniels,4
39,lager,4
40,frangelico,4
41,campari,4
42,maraschino liqueur,7
43,malibu rum,4
44,cardamom,3
45,absolut citron,3
46,crown royal,3
47,sherry,3
48,white creme de menthe,3
49,wine,3
50,anis,3
51,apricot brandy,3
52,irish whiskey,3
53,sloe gin,3
54,southern comfort,3
55,everclear,3
56,cognac,3
57,spiced rum,3
58,bacardi limon,3
59,blackberry brandy,3
60,prosecco,2
61,vermouth,2
62,corona,2
63,cherry heering,2
64,jim beam,2
65,green creme de menthe,2
66,white rum,2
67,drambuie,2
68,applejack,2
69,butterscotch schnapps,2
70,schweppes russchian,2
71,absolut vodka,2
72,absolut kurant,2
73,coffee liqueur,2
74,irish cream,2
75,cachaca,2
76,cider,2
77,triple sec,2
78,pisco,2
79,grain alcohol,2
80,hot damn,2
81,irish whiskey,3
82,zima,2
83,pina colada mix,1
84,daiquiri mix,1
85,johnnie walker,1
86,blended scotch,1
87,orange curacao,1
88,absinthe,1
89,apricot brandy,3
90,pernod,1
91,jagermeister,1
92,bailey,1
93,peachtree schnapps,1
94,rye whiskey,1
95,ouzo,1
96,gold rum,1
97,cherry liqueur,1
98,islay single malt scotch,1
99,anisette,1
100,godiva liqueur,1
101,creme de banane,1
102,advocaat,1
103,ricard,1
104,raspberry vodka,1
105,coriander,1
106,elderflower cordial,1
107,rosso vermouth,1
108,yukon jack,1
109,lillet blanc,1
110,black sambuca,1
111,lime vodka,1
112,coffee brandy,1
113,white rum,2
114,raspberry liqueur,1
115,dubonnet rouge,1
116,banana liqueur,1
117,dark rum,1
118,lillet,1
119,firewater,1
120,absolut peppar,1
121,sarsaparilla,1
122,whiskey,1
123,tia maria,1
124,blackstrap rum,1
125,añejo rum,1
126,falernum,1
127,chocolate liqueur,1
128,gin,1
129,blackcurrant cordial,1
130,st. germain,1
131,peach vodka,1
132,cranberry vodka,1
133,yellow chartreuse,1
134,apple brandy,1
135,kiwi liqueur,1
136,apfelkorn,1
137,pisang ambon,1
138,strawberry schnapps,1
139,asafoetida,1
140,maraschino liqueur,1
141,aperol,1
142,guinness stout,1
143,peach brandy,1
144,creme de mure,1
145,rye whiskey,1
146,whisky,1
147,vanilla vodka,1
