,Drink ID,Name,Category,Alcoholic,Glass,Ingredients,Measure
0,17222,A1,Cocktail,True,cocktail glass,"['Gin', 'Grand Marnier', 'Lemon Juice', 'Grenadine']","['1 3/4 shot ', '1 Shot ', '1/4 Shot', '1/8 Shot']"
1,13501,ABC,Shot,True,shot glass,"['Amaretto', 'Baileys irish cream', 'Cognac']","['1/3 ', '1/3 ', '1/3 ']"
2,17225,Ace,Cocktail,True,martini glass,"['Gin', 'Grenadine', 'Heavy cream', 'Milk', 'Egg White']","['2 shots ', '1/2 shot ', '1/2 shot ', '1/2 shot', '1/2 Fresh']"
3,17837,Adam,Ordinary Drink,True,cocktail glass,"['Dark rum', 'Lemon juice', 'Grenadine']","['2 oz ', '1 oz ', '1 tsp ']"
4,13938,AT&T,Ordinary Drink,True,highball glass,"['Absolut Vodka', 'Gin', 'Tonic water']","['1 oz ', '1 oz ', '4 oz ']"
5,14610,ACID,Shot,True,shot glass,"['151 proof rum', 'Wild Turkey']","['1 oz Bacardi ', '1 oz ']"
6,17833,A. J.,Ordinary Drink,True,cocktail glass,"['Applejack', 'Grapefruit juice']","['1 1/2 oz ', '1 oz ']"
7,17839,Affair,Ordinary Drink,True,highball glass,"['Strawberry schnapps', 'Orange juice', 'Cranberry juice', 'Club soda']","['2 oz ', '2 oz ', '2 oz ', None]"
8,15106,Apello,Other/Unknown,False,collins glass,"['Orange juice', 'Grapefruit juice', 'Apple juice', 'Maraschino cherry']","['4 cl ', '3 cl ', '1 cl ', '1 ']"
9,15266,Avalon,Ordinary Drink,True,highball glass,"['Vodka', 'Pisang Ambon', 'Apple juice', 'Lemon juice', 'Lemonade']","['3 parts', '1 part ', '6 parts ', '1 1/2 part ', None]"
10,17835,Abilene,Ordinary Drink,True,highball glass,"['Dark rum', 'Peach nectar', 'Orange juice']","['1 1/2 oz ', '2 oz ', '3 oz ']"
11,11023,Almeria,Ordinary Drink,True,cocktail glass,"['Dark rum', 'Kahlua', 'Egg white']","['2 oz ', '1 oz ', '1 ']"
12,17228,Addison,Cocktail,True,martini glass,"['Gin', 'Vermouth']","['1 1/2 shot ', '1 1/2 shot ']"
13,17836,Acapulco,Ordinary Drink,True,old-fashioned glass,"['Light rum', 'Triple sec', 'Lime juice', 'Sugar', 'Egg white', 'Mint']","['1 1/2 oz ', '1 1/2 tsp ', '1 tblsp ', '1 tsp ', '1 ', '1 ']"
14,17840,Affinity,Ordinary Drink,True,cocktail glass,"['Scotch', 'Sweet Vermouth', 'Dry Vermouth', 'Orange bitters']","['1 1/2 oz ', '1 oz ', '1 oz ', '2 dashes ']"
15,11046,Applecar,Ordinary Drink,True,cocktail glass,"['Applejack', 'Triple sec', 'Lemon juice']","['1 oz ', '1 oz ', '1 oz ']"
16,17180,Aviation,Cocktail,True,cocktail glass,"['Gin', 'lemon juice', 'maraschino liqueur']","['4.5 cl', '1.5 cl', '1.5 cl']"
17,11014,Alexander,Ordinary Drink,True,cocktail glass,"['Gin', 'Creme de Cacao', 'Light cream', 'Nutmeg']","['1/2 oz ', '1/2 oz white ', '2 oz ', None]"
18,11020,Algonquin,Ordinary Drink,True,cocktail glass,"['Blended whiskey', 'Dry Vermouth', 'Pineapple juice']","['1 1/2 oz ', '1 oz ', '1 oz ']"
19,11021,Allegheny,Ordinary Drink,True,cocktail glass,"['Dry Vermouth', 'Bourbon', 'Blackberry brandy', 'Lemon juice', 'Lemon peel']","['1 oz ', '1 oz ', '1 1/2 tsp ', '1 1/2 tsp ', '1 twist of ']"
20,11055,Artillery,Ordinary Drink,True,cocktail glass,"['Sweet Vermouth', 'Gin', 'Bitters']","['1 1/2 tsp ', '1 1/2 oz ', '2 dashes ']"
21,12560,Afterglow,Cocktail,False,highball glass,"['Grenadine', 'Orange juice', 'Pineapple juice']","['1 part ', '4 parts ', '4 parts ']"
22,12756,Autodafé,Ordinary Drink,True,highball glass,"['Vodka', 'Lime juice', 'Soda water']","['4 cl ', '1 dash ', None]"
23,13162,Afternoon,Coffee / Tea,True,collins glass,"['Kahlua', 'Baileys irish cream', 'Frangelico', 'Coffee', 'Cream']","['1 cl ', '1 cl ', '1 1/2 ', '4 cl hot ', None]"
24,13332,B-53,Shot,True,collins glass,"['Kahlua', 'Sambuca', 'Grand Marnier']","['1/3 shot ', '1/3 shot ', '1/3 shot ']"
25,15853,B-52,Shot,True,shot glass,"['Baileys irish cream', 'Grand Marnier', 'Kahlua']","['1/3 ', '1/3 ', '1/4 ']"
26,17254,Bijou,Cocktail,True,cocktail glass,"['Orange Bitters', 'Green Chartreuse', 'Gin', 'Sweet Vermouth']","['1 dash', '1 oz', '1 oz', '1 oz']"
27,11149,Boxcar,Ordinary Drink,True,old-fashioned glass,"['Gin', 'Triple sec', 'Lemon juice', 'Grenadine', 'Egg white']","['1 1/2 oz ', '1 oz ', '1 tsp ', '1/2 tsp ', '1 ']"
28,13222,Big Red,Shot,True,shot glass,"['Irish cream', 'Goldschlager']","['1/2 oz ', '1/2 oz ']"
29,17195,Bellini,Ordinary Drink,True,champagne flute,"['Champagne', 'Peach schnapps']","['6 oz ', '1 oz ']"
30,17210,Bramble,Ordinary Drink,True,old-fashioned glass,"['Gin', 'lemon juice', 'Sugar syrup', 'Creme de Mure']","['4 cl', '1.5 cl', '1 cl', '1.5 cl']"
31,11060,Balmoral,Ordinary Drink,True,cocktail glass,"['Scotch', 'Sweet Vermouth', 'Dry Vermouth', 'Bitters']","['1 1/2 oz ', '1/2 oz ', '1/2 oz ', '2 dashes ']"
32,11120,Bluebird,Ordinary Drink,True,cocktail glass,"['Gin', 'Triple sec', 'Blue Curacao', 'Bitters', 'Maraschino cherry', 'Lemon peel']","['1 1/2 oz ', '1/2 oz ', '1/2 oz ', '2 dashes ', '1 ', '1 twist of ']"
33,178310,Brooklyn,Cocktail,True,cocktail glass,"['Rye Whiskey', 'Dry Vermouth', 'Maraschino Liqueur', 'Angostura Bitters', 'Maraschino Cherry']","['2 oz', '1 oz', '1/4 oz', '3 dashes', '1']"
34,11124,Boomerang,Ordinary Drink,True,cocktail glass,"['Gin', 'Dry Vermouth', 'Bitters', 'Maraschino liqueur', 'Maraschino cherry']","['2 oz ', '1/2 oz ', '2 dashes ', '1/2 tsp ', '1 ']"
35,12572,Bora Bora,Cocktail,False,highball glass,"['Pineapple juice', 'Passion fruit juice', 'Lemon juice', 'Grenadine']","['10 cl ', '6 cl ', '1 cl ', '1 cl ']"
